Respondent_ID,Used_BNPL,Purchase_Influenced_By_BNPL,Age_Group,Income_Level,Gender,Size_Upgrade_Due_To_BNPL
1,No,Would Purchase Anyway,25–34,30k–60k,Female,No
2,No,Would Skip,25–34,30k–60k,Male,Not Applicable
3,Yes,Would Delay,18–24,<30k,Male,Not Applicable
4,Yes,Would Purchase Anyway,25–34,<30k,Female,Not Applicable
5,No,Would Purchase Anyway,18–24,<30k,Male,Not Applicable
6,Yes,Would Purchase Anyway,25–34,30k–60k,Female,Not Applicable
7,No,Would Purchase Anyway,35–44,60k–100k,Female,Not Applicable
8,Yes,Would Purchase Anyway,25–34,60k–100k,Male,No
9,Yes,Would Delay,25–34,<30k,Male,No
10,Yes,Would Delay,25–34,<30k,Male,Yes
11,Yes,Would Purchase Anyway,18–24,100k+,Male,Not Applicable
12,Yes,Would Skip,25–34,30k–60k,Female,Yes
13,Yes,Would Skip,18–24,60k–100k,Female,Yes
14,No,Would Delay,35–44,30k–60k,Female,No
15,No,Would Purchase Anyway,25–34,30k–60k,Female,No
16,Yes,Would Delay,25–34,30k–60k,Male,Yes
17,Yes,Would Delay,35–44,30k–60k,Male,Yes
18,Yes,Would Purchase Anyway,25–34,<30k,Male,No
19,No,Would Purchase Anyway,25–34,30k–60k,Female,Yes
20,Yes,Would Purchase Anyway,25–34,30k–60k,Female,No
21,No,Would Purchase Anyway,25–34,30k–60k,Male,Not Applicable
22,No,Would Purchase Anyway,35–44,30k–60k,Male,Not Applicable
23,Yes,Would Purchase Anyway,35–44,60k–100k,Male,Yes
24,Yes,Would Purchase Anyway,25–34,<30k,Other,No
25,Yes,Would Skip,25–34,100k+,Male,Not Applicable
26,Yes,Would Skip,45+,60k–100k,Male,No
27,Yes,Would Purchase Anyway,25–34,30k–60k,Male,Yes
28,Yes,Would Skip,35–44,30k–60k,Female,Yes
29,No,Would Purchase Anyway,18–24,<30k,Male,No
30,Yes,Would Delay,18–24,100k+,Male,Not Applicable
31,Yes,Would Delay,25–34,60k–100k,Female,Not Applicable
32,Yes,Would Purchase Anyway,18–24,60k–100k,Female,No
33,Yes,Would Purchase Anyway,18–24,60k–100k,Male,No
34,No,Would Delay,18–24,30k–60k,Male,No
35,Yes,Would Purchase Anyway,18–24,60k–100k,Female,Yes
36,Yes,Would Purchase Anyway,45+,<30k,Female,Yes
37,Yes,Would Delay,18–24,<30k,Male,Yes
38,Yes,Would Purchase Anyway,25–34,100k+,Female,Not Applicable
39,Yes,Would Purchase Anyway,18–24,<30k,Female,Yes
40,No,Would Delay,25–34,<30k,Female,Not Applicable
41,Yes,Would Purchase Anyway,35–44,60k–100k,Female,No
42,Yes,Would Purchase Anyway,18–24,30k–60k,Female,Yes
43,Yes,Would Purchase Anyway,18–24,30k–60k,Male,No
44,Yes,Would Purchase Anyway,35–44,60k–100k,Female,Not Applicable
45,Yes,Would Purchase Anyway,25–34,<30k,Female,No
46,No,Would Skip,25–34,60k–100k,Female,No
47,Yes,Would Purchase Anyway,25–34,60k–100k,Female,No
48,No,Would Delay,35–44,60k–100k,Female,Yes
49,No,Would Delay,25–34,30k–60k,Female,Yes
50,Yes,Would Skip,18–24,30k–60k,Female,Not Applicable
51,Yes,Would Purchase Anyway,25–34,60k–100k,Female,Not Applicable
52,No,Would Purchase Anyway,25–34,100k+,Female,No
53,Yes,Would Purchase Anyway,25–34,30k–60k,Female,Not Applicable
54,Yes,Would Purchase Anyway,18–24,30k–60k,Male,Yes
55,No,Would Delay,25–34,100k+,Male,No
56,Yes,Would Skip,25–34,100k+,Female,Yes
